id,model,category,manufacturer,passenger_capacity,range_km,cruising_speed_kmh,luggage_capacity_kg,runway_requirement_m,description,amenities,image_url
LJ001,Citation CJ4,Light Jet,Cessna,10,3700,770,450,1000,"The Citation CJ4 is a versatile light jet with impressive range and performance. It offers a comfortable cabin with excellent amenities for short to medium-range flights.","Wi-Fi,Leather Seats,Refreshment Center,Power Outlets,Entertainment System",
LJ002,Phenom 300,Light Jet,Embraer,11,3650,840,500,950,"The Phenom 300 is one of the most popular light jets, offering exceptional performance and comfort. Its spacious cabin and impressive range make it ideal for business or leisure travel.","Wi-Fi,Leather Seats,Refreshment Center,Power Outlets,Entertainment System,Lavatory",
LJ003,Learjet 75,Light Jet,Bombardier,9,3800,860,550,1200,"The Learjet 75 delivers exceptional performance with its powerful engines and aerodynamic design. It offers a comfortable cabin with stand-up headroom and flat floor.","Wi-Fi,Leather Seats,Refreshment Center,Power Outlets,Entertainment System,Lavatory",
MJ001,Citation XLS+,Midsize Jet,Cessna,12,5000,815,700,1200,"The Citation XLS+ combines the comfort and space of a midsize jet with the ability to access shorter runways. It offers a spacious stand-up cabin with excellent amenities.","Wi-Fi,Leather Seats,Full Refreshment Center,Power Outlets,Entertainment System,Full Lavatory,Fold-out Tables",
MJ002,Gulfstream G150,Midsize Jet,Gulfstream,8,5500,850,750,1500,"The Gulfstream G150 offers impressive range and speed in the midsize category. Its wide cabin provides exceptional comfort for business or leisure travel.","Wi-Fi,Leather Seats,Full Refreshment Center,Power Outlets,Entertainment System,Full Lavatory,Fold-out Tables",
MJ003,Hawker 900XP,Midsize Jet,Hawker,9,5200,830,700,1600,"The Hawker 900XP offers a spacious cabin with stand-up headroom and a flat floor. Its impressive range and performance make it ideal for transcontinental flights.","Wi-Fi,Leather Seats,Full Refreshment Center,Power Outlets,Entertainment System,Full Lavatory,Fold-out Tables",
HJ001,Gulfstream G550,Heavy Jet,Gulfstream,19,12500,850,1800,1800,"The Gulfstream G550 offers exceptional range and performance, capable of nonstop flights between most major cities worldwide. Its spacious cabin provides ultimate comfort for long-haul flights.","Wi-Fi,Leather Seats,Full Galley,Power Outlets,Advanced Entertainment System,Full Lavatory,Fold-out Tables,Sleeping Quarters,Shower",
HJ002,Falcon 7X,Heavy Jet,Dassault,16,11000,870,1600,1800,"The Falcon 7X is a long-range heavy jet with exceptional performance and fuel efficiency. Its spacious three-zone cabin offers ultimate comfort for intercontinental flights.","Wi-Fi,Leather Seats,Full Galley,Power Outlets,Advanced Entertainment System,Full Lavatory,Fold-out Tables,Sleeping Quarters",
HJ003,Bombardier Global 6000,Heavy Jet,Bombardier,17,11100,890,1700,1900,"The Global 6000 offers exceptional range and a spacious cabin with multiple zones for working, dining, and relaxing. It's designed for ultimate comfort on long-haul flights.","Wi-Fi,Leather Seats,Full Galley,Power Outlets,Advanced Entertainment System,Full Lavatory,Fold-out Tables,Sleeping Quarters,Shower",
VA001,Boeing BBJ,VIP Airliner,Boeing,50,11500,870,3000,2000,"The Boeing Business Jet (BBJ) offers the ultimate in luxury private aviation. Based on the Boeing 737, it provides an expansive cabin that can be customized with multiple zones including bedrooms, conference rooms, and dining areas.","Wi-Fi,Leather Seats,Full Galley,Power Outlets,Advanced Entertainment System,Multiple Lavatories,Conference Room,Master Bedroom,Shower,Dining Area",
VA002,Airbus ACJ320,VIP Airliner,Airbus,48,11100,860,3000,2000,"The Airbus Corporate Jet (ACJ) 320 offers an expansive cabin that can be customized to include multiple zones such as private offices, bedrooms, conference rooms, and dining areas. It provides ultimate luxury for large groups or VIP travel.","Wi-Fi,Leather Seats,Full Galley,Power Outlets,Advanced Entertainment System,Multiple Lavatories,Conference Room,Master Bedroom,Shower,Dining Area",
VA003,Embraer Lineage 1000E,VIP Airliner,Embraer,19,8500,850,2000,1800,"The Lineage 1000E offers a spacious cabin divided into multiple zones that can include a master bedroom, bathroom with shower, dining area, and conference room. It provides exceptional comfort for long-range flights.","Wi-Fi,Leather Seats,Full Galley,Power Outlets,Advanced Entertainment System,Multiple Lavatories,Conference Room,Master Bedroom,Shower,Dining Area",
