id,name,slug,category,description,benefits,suitable_aircraft,image_url
BT001,Business Travel,business-travel,Business,"PJ Charter's Business Travel service provides efficient and reliable private jet solutions for corporate travel. Our service is designed to maximize productivity and minimize travel time, allowing executives to focus on what matters most.","Time Efficiency,Flexible Scheduling,Privacy and Confidentiality,Productivity Enhancement,Access to Multiple Destinations,Customized Experience","Citation CJ4,Phenom 300,Citation XLS+,Gulfstream G150,Hawker 900XP",
LT001,Leisure Travel,leisure-travel,Leisure,"Experience the ultimate in luxury travel with PJ Charter's Leisure Travel service. Begin your vacation the moment you step onboard, with personalized service and premium amenities tailored to your preferences.","Ultimate Comfort,Personalized Service,Access to Remote Destinations,Flexible Scheduling,Family-Friendly Experience,Gourmet Catering","Phenom 300,Citation XLS+,Gulfstream G150,Falcon 7X,Bombardier Global 6000",
GC001,Group Charters,group-charters,Group,"PJ Charter's Group Charter service provides specialized solutions for group travel, events, and corporate retreats. We offer seamless coordination for multiple passengers, ensuring a smooth and enjoyable experience for everyone.","Accommodates Large Groups,Custom Itineraries,Event Coordination,Cost-Effective for Groups,Consistent Experience,Personalized Service","Hawker 900XP,Gulfstream G550,Falcon 7X,Boeing BBJ,Airbus ACJ320,Embraer Lineage 1000E",
MT001,Medical Transport,medical-transport,Specialized,"Our Medical Transport service provides swift and comfortable air ambulance solutions for patients requiring medical travel. We coordinate with medical professionals to ensure all necessary equipment and care is available during the flight.","Swift Response,Medical Equipment Integration,Comfortable Patient Transport,Global Coverage,Coordination with Medical Facilities,Privacy and Dignity","Citation CJ4,Citation XLS+,Gulfstream G550,Bombardier Global 6000",
ET001,Event Transport,event-transport,Specialized,"PJ Charter's Event Transport service provides seamless travel solutions for special events, concerts, sports tournaments, and more. We coordinate multiple aircraft and complex logistics to ensure all participants arrive on schedule.","Coordinated Group Arrivals,VIP Experience,Custom Branding Options,Flexible Scheduling,Global Coverage,Dedicated Event Coordinator","Gulfstream G150,Hawker 900XP,Gulfstream G550,Boeing BBJ,Airbus ACJ320",
RT001,Roadshow Travel,roadshow-travel,Business,"Our Roadshow Travel service is designed for executives and teams visiting multiple cities in a short timeframe. We optimize your schedule to maximize productivity and minimize travel time between destinations.","Efficient Multi-City Itineraries,Consistent Experience Across Destinations,Onboard Meeting Capabilities,Schedule Flexibility,Productivity Enhancement,Global Coverage","Citation XLS+,Gulfstream G150,Hawker 900XP,Gulfstream G550,Falcon 7X",
HT001,Honeymoon Travel,honeymoon-travel,Leisure,"Start your married life in style with our Honeymoon Travel service. We provide the ultimate romantic experience with personalized touches to make your journey as special as your destination.","Ultimate Privacy,Romantic Atmosphere,Personalized Service,Champagne and Gourmet Dining,Flexible Scheduling,Access to Remote Romantic Destinations","Phenom 300,Citation XLS+,Gulfstream G150,Falcon 7X",
FT001,Family Travel,family-travel,Leisure,"Our Family Travel service is designed with the needs of families in mind. Enjoy spacious cabins, family-friendly amenities, and personalized service that caters to travelers of all ages.","Child-Friendly Amenities,Spacious Cabins,Family Meal Options,Entertainment for All Ages,Pet-Friendly Options,Assistance with Family Logistics","Citation XLS+,Hawker 900XP,Gulfstream G550,Falcon 7X,Boeing BBJ,Airbus ACJ320",
ST001,Sports Team Travel,sports-team-travel,Group,"PJ Charter's Sports Team Travel service provides specialized transportation for professional and amateur sports teams. We accommodate equipment, customize catering for athletes, and ensure timely arrivals for competitions.","Equipment Accommodation,Nutrition-Focused Catering,Team Seating Arrangements,Schedule Flexibility for Competitions,Recovery-Optimized Cabin Environment,Global Tournament Coverage","Gulfstream G550,Falcon 7X,Bombardier Global 6000,Boeing BBJ,Airbus ACJ320,Embraer Lineage 1000E",
CT001,Celebrity Travel,celebrity-travel,Specialized,"Our Celebrity Travel service offers the ultimate in privacy, security, and luxury for high-profile individuals. We provide discreet transportation with enhanced security measures and premium amenities.","Ultimate Privacy,Enhanced Security,Discreet Ground Handling,Customized Luxury Experience,Global Coverage with Short Notice,Media Avoidance","Gulfstream G550,Falcon 7X,Bombardier Global 6000,Boeing BBJ,Airbus ACJ320",
